attackerField,serverField,protocol,startDate,endDate
40,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:03.007009,2025-02-13 16:39:03.506952
41,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:03.009145,2025-02-13 16:39:03.508977
42,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:03.200534,2025-02-13 16:39:03.652459
43,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:03.507012,2025-02-13 16:39:04.006823
44,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:03.509179,2025-02-13 16:39:04.008359
45,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:03.800665,2025-02-13 16:39:04.244260
46,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:04.052199,2025-02-13 16:39:04.548191
47,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:04.056636,2025-02-13 16:39:04.552303
48,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:04.400671,2025-02-13 16:39:04.844429
49,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:05.000870,2025-02-13 16:39:05.444403
50,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:05.004577,2025-02-13 16:39:05.048322
51,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:05.006858,2025-02-13 16:39:05.056200
52,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:05.505251,2025-02-13 16:39:05.548344
53,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:05.507724,2025-02-13 16:39:05.552237
54,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:05.600029,2025-02-13 16:39:06.044320
55,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:06.007654,2025-02-13 16:39:06.507571
56,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:06.011865,2025-02-13 16:39:06.509523
57,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:06.200643,2025-02-13 16:39:06.644626
58,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:06.507690,2025-02-13 16:39:07.007632
59,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:06.558788,2025-02-13 16:39:07.052336
60,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:06.800738,2025-02-13 16:39:07.248407
61,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:07.007722,2025-02-13 16:39:07.506258
62,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:07.400051,2025-02-13 16:39:07.844472
63,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:07.506474,2025-02-13 16:39:07.548339
64,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:07.548344,2025-02-13 16:39:08.009032
65,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:08.000668,2025-02-13 16:39:08.444369
66,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:08.009279,2025-02-13 16:39:08.509025
67,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:08.052203,2025-02-13 16:39:08.549261
68,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:08.509291,2025-02-13 16:39:08.552394
69,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:08.600640,2025-02-13 16:39:09.048308
70,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:09.008462,2025-02-13 16:39:09.508439
71,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:09.014000,2025-02-13 16:39:09.513383
72,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:09.200119,2025-02-13 16:39:09.664395
73,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:09.508638,2025-02-13 16:39:10.008621
74,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:09.556360,2025-02-13 16:39:10.056209
75,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:09.800537,2025-02-13 16:39:10.248424
76,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:10.008718,2025-02-13 16:39:10.508338
77,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:10.400663,2025-02-13 16:39:10.856386
78,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:10.508392,2025-02-13 16:39:10.552227
79,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:10.552255,2025-02-13 16:39:11.012462
80,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:11.001292,2025-02-13 16:39:11.456635
81,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:11.012612,2025-02-13 16:39:11.508217
82,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:11.060194,2025-02-13 16:39:11.548348
83,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:11.552319,2025-02-13 16:39:12.012756
84,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:11.600302,2025-02-13 16:39:12.048226
85,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:12.009060,2025-02-13 16:39:12.507173
86,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:12.056230,2025-02-13 16:39:12.552206
87,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:12.200714,2025-02-13 16:39:12.644454
88,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:12.548313,2025-02-13 16:39:13.018953
89,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:12.806853,2025-02-13 16:39:13.260374
90,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:13.019122,2025-02-13 16:39:13.508974
91,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:13.060205,2025-02-13 16:39:13.548329
92,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:13.400277,2025-02-13 16:39:13.852597
93,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:13.552515,2025-02-13 16:39:14.052320
94,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:14.000679,2025-02-13 16:39:14.468407
95,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:14.006471,2025-02-13 16:39:14.506162
96,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:14.506484,2025-02-13 16:39:15.006410
97,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:14.508069,2025-02-13 16:39:14.552245
98,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:14.600673,2025-02-13 16:39:15.048365
99,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:15.006613,2025-02-13 16:39:15.052338
100,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:15.009021,2025-02-13 16:39:15.052333
101,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:15.201169,2025-02-13 16:39:15.644399
102,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:15.507977,2025-02-13 16:39:15.552212
103,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:15.511204,2025-02-13 16:39:15.556324
104,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:15.801012,2025-02-13 16:39:16.244539
105,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:16.009952,2025-02-13 16:39:16.506629
106,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:16.013389,2025-02-13 16:39:16.508440
107,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:16.400678,2025-02-13 16:39:16.868370
108,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:16.548514,2025-02-13 16:39:17.014522
109,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:16.552272,2025-02-13 16:39:17.016606
110,02:42:c0:a8:00:2a,ff:ff:ff:ff:ff:ff,ARP,2025-02-13 16:39:16.581105,2025-02-13 16:39:16.990863
111,02:42:c0:a8:00:0b,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:16.581321,2025-02-13 16:39:16.581321
112,02:42:c0:a8:00:16,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:16.781929,2025-02-13 16:39:16.781929
113,02:42:c0:a8:00:17,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:16.781957,2025-02-13 16:39:16.781957
114,02:42:c0:a8:00:29,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:16.784580,2025-02-13 16:39:16.784580
115,02:42:c0:a8:00:2a,02:42:c0:a8:00:2b,ARP,2025-02-13 16:39:16.784603,2025-02-13 16:39:16.784603
116,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:17.002653,2025-02-13 16:39:17.444358
117,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:17.056369,2025-02-13 16:39:17.548712
118,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:17.060228,2025-02-13 16:39:17.552513
119,02:42:c0:a8:00:2a,ff:ff:ff:ff:ff:ff,ARP,2025-02-13 16:39:17.083182,2025-02-13 16:39:17.500644
120,02:42:72:4a:89:82,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:17.394807,2025-02-13 16:39:17.849565
121,02:42:c0:a8:00:0c,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:17.394837,2025-02-13 16:39:17.892832
122,02:42:c0:a8:00:15,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:17.394946,2025-02-13 16:39:17.892882
123,02:42:c0:a8:00:2a,ff:ff:ff:ff:ff:ff,ARP,2025-02-13 16:39:17.586053,2025-02-13 16:39:17.892873
124,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:17.600358,2025-02-13 16:39:18.048290
125,172.16.90.1,192.168.0.42,IPV4-UDP,2025-02-13 16:39:17.849600,2025-02-13 16:39:17.855969
126,02:42:c0:a8:00:0b,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:17.892748,2025-02-13 16:39:17.892748
127,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:17.892777,2025-02-13 16:39:18.392746
128,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:17.892840,2025-02-13 16:39:18.392818
129,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:17.892890,2025-02-13 16:39:18.392889
130,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:17.892916,2025-02-13 16:39:18.392900
131,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:18.004917,2025-02-13 16:39:18.504888
132,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:18.007756,2025-02-13 16:39:18.506866
133,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:18.200259,2025-02-13 16:39:18.648236
134,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.392798,2025-02-13 16:39:18.892773
135,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.392870,2025-02-13 16:39:18.892844
136,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.392941,2025-02-13 16:39:18.892917
137,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.392955,2025-02-13 16:39:18.892927
138,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:18.505036,2025-02-13 16:39:19.005002
139,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:18.548305,2025-02-13 16:39:19.048196
140,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:18.800445,2025-02-13 16:39:19.244241
141,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.892825,2025-02-13 16:39:19.392812
142,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.892896,2025-02-13 16:39:19.392885
143,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.892968,2025-02-13 16:39:19.392956
144,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:18.892981,2025-02-13 16:39:19.392967
145,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:19.005134,2025-02-13 16:39:19.505114
146,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.392864,2025-02-13 16:39:19.892796
147,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.392936,2025-02-13 16:39:19.892811
148,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.393009,2025-02-13 16:39:19.892826
149,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.393023,2025-02-13 16:39:19.892837
150,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:19.400327,2025-02-13 16:39:19.848210
151,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:19.505170,2025-02-13 16:39:19.548224
152,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:19.505563,2025-02-13 16:39:19.548221
153,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.893025,2025-02-13 16:39:20.393007
154,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.893045,2025-02-13 16:39:20.393022
155,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.893062,2025-02-13 16:39:20.393037
156,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:19.893078,2025-02-13 16:39:20.393048
157,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:20.010365,2025-02-13 16:39:20.444259
158,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:20.014133,2025-02-13 16:39:20.504913
159,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:20.016124,2025-02-13 16:39:20.505954
160,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.393059,2025-02-13 16:39:20.893058
161,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.393074,2025-02-13 16:39:20.893073
162,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.393089,2025-02-13 16:39:20.893088
163,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.393105,2025-02-13 16:39:20.893099
164,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:20.548209,2025-02-13 16:39:21.044289
165,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:20.548252,2025-02-13 16:39:21.044292
166,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:20.600405,2025-02-13 16:39:21.048297
167,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.893110,2025-02-13 16:39:21.393075
168,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.893126,2025-02-13 16:39:21.393091
169,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.893281,2025-02-13 16:39:21.393280
170,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:20.893295,2025-02-13 16:39:21.393291
171,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:21.200357,2025-02-13 16:39:21.644419
172,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.393129,2025-02-13 16:39:21.892917
173,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.393144,2025-02-13 16:39:21.893117
174,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.393333,2025-02-13 16:39:21.893333
175,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.393347,2025-02-13 16:39:21.893347
176,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:21.505586,2025-02-13 16:39:22.005582
177,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:21.506798,2025-02-13 16:39:21.548288
178,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:21.800442,2025-02-13 16:39:22.244293
179,192.168.0.11,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.893232,2025-02-13 16:39:22.378659
180,192.168.0.12,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.893251,2025-02-13 16:39:22.378674
181,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.893338,2025-02-13 16:39:22.393331
182,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:21.893349,2025-02-13 16:39:22.393342
183,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:22.005671,2025-02-13 16:39:22.505616
184,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:22.006847,2025-02-13 16:39:22.506773
185,192.168.0.21,192.168.0.42,IPV4-TCP,2025-02-13 16:39:22.393354,2025-02-13 16:39:22.544578
186,192.168.0.1,192.168.0.42,IPV4-TCP,2025-02-13 16:39:22.393478,2025-02-13 16:39:22.544559
187,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:22.400170,2025-02-13 16:39:22.852210
188,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:22.505699,2025-02-13 16:39:23.005571
189,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:22.506859,2025-02-13 16:39:23.006374
190,02:42:c0:a8:00:2a,ff:ff:ff:ff:ff:ff,ARP,2025-02-13 16:39:22.778165,2025-02-13 16:39:22.778326
191,02:42:c0:a8:00:17,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:22.778189,2025-02-13 16:39:22.778189
192,192.168.0.23,192.168.0.42,IPV4-TCP,2025-02-13 16:39:22.778213,2025-02-13 16:39:23.278186
193,02:42:c0:a8:00:29,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:22.778260,2025-02-13 16:39:22.778260
194,192.168.0.41,192.168.0.42,IPV4-TCP,2025-02-13 16:39:22.778266,2025-02-13 16:39:23.278265
195,02:42:c0:a8:00:2a,02:42:c0:a8:00:2b,ARP,2025-02-13 16:39:22.778298,2025-02-13 16:39:22.778298
196,192.168.0.42,192.168.0.43,IPV4-TCP,2025-02-13 16:39:22.778304,2025-02-13 16:39:23.278281
197,02:42:c0:a8:00:16,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:22.778332,2025-02-13 16:39:22.778332
198,192.168.0.22,192.168.0.42,IPV4-TCP,2025-02-13 16:39:22.778338,2025-02-13 16:39:23.278297
199,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:23.000879,2025-02-13 16:39:23.444312
200,02:42:c0:a8:00:15,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:23.008232,2025-02-13 16:39:23.008242
201,02:42:c0:a8:00:0c,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:23.008234,2025-02-13 16:39:23.008243
202,02:42:c0:a8:00:0b,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:23.008235,2025-02-13 16:39:23.008244
203,02:42:72:4a:89:82,02:42:c0:a8:00:2a,ARP,2025-02-13 16:39:23.008274,2025-02-13 16:39:23.008289
204,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:23.048174,2025-02-13 16:39:23.506712
205,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:23.048177,2025-02-13 16:39:23.505520
206,192.168.0.23,192.168.0.42,IPV4-TCP,2025-02-13 16:39:23.278245,2025-02-13 16:39:23.778204
207,192.168.0.41,192.168.0.42,IPV4-TCP,2025-02-13 16:39:23.278323,2025-02-13 16:39:23.778280
208,192.168.0.42,192.168.0.43,IPV4-TCP,2025-02-13 16:39:23.278339,2025-02-13 16:39:23.778295
209,192.168.0.22,192.168.0.42,IPV4-TCP,2025-02-13 16:39:23.278354,2025-02-13 16:39:23.778310
210,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:23.548338,2025-02-13 16:39:24.015367
211,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:23.548342,2025-02-13 16:39:24.014269
212,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:23.600072,2025-02-13 16:39:24.044334
213,192.168.0.23,192.168.0.42,IPV4-TCP,2025-02-13 16:39:23.778259,2025-02-13 16:39:24.278213
214,192.168.0.41,192.168.0.42,IPV4-TCP,2025-02-13 16:39:23.778336,2025-02-13 16:39:24.278289
215,192.168.0.42,192.168.0.43,IPV4-TCP,2025-02-13 16:39:23.778352,2025-02-13 16:39:24.278303
216,192.168.0.22,192.168.0.42,IPV4-TCP,2025-02-13 16:39:23.778367,2025-02-13 16:39:24.278319
217,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:24.056220,2025-02-13 16:39:24.548274
218,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:24.056223,2025-02-13 16:39:24.548277
219,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:24.201508,2025-02-13 16:39:24.652257
220,192.168.0.23,192.168.0.42,IPV4-TCP,2025-02-13 16:39:24.278269,2025-02-13 16:39:24.778266
221,192.168.0.41,192.168.0.42,IPV4-TCP,2025-02-13 16:39:24.278344,2025-02-13 16:39:24.778341
222,192.168.0.42,192.168.0.43,IPV4-TCP,2025-02-13 16:39:24.278359,2025-02-13 16:39:24.778295
223,192.168.0.22,192.168.0.42,IPV4-TCP,2025-02-13 16:39:24.278374,2025-02-13 16:39:24.778311
224,192.168.0.23,192.168.0.42,IPV4-TCP,2025-02-13 16:39:24.778321,2025-02-13 16:39:25.278282
225,192.168.0.42,192.168.0.43,IPV4-TCP,2025-02-13 16:39:24.778397,2025-02-13 16:39:25.278388
226,192.168.0.22,192.168.0.42,IPV4-TCP,2025-02-13 16:39:24.778416,2025-02-13 16:39:25.278403
227,192.168.0.41,192.168.0.42,IPV4-TCP,2025-02-13 16:39:24.778447,2025-02-13 16:39:25.278434
228,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:39:24.800465,2025-02-13 16:39:25.252255
229,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:39:25.003357,2025-02-13 16:39:25.503350
230,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:39:25.006349,2025-02-13 16:39:25.505669
231,192.168.0.23,192.168.0.42,IPV4-TCP,2025-02-13 16:39:25.278352,2025-02-13 16:39:25.778302
232,192.168.0.42,192.168.0.43,IPV4-TCP,2025-02-13 16:39:25.278445,2025-02-13 16:39:25.778393
